"DO NOT MODIFY OR REMOVE - Component ID","English (US)","Slovak","Hungarian"
"OBUxLwsvXb","Pass faster with focused practice","Uspej na skúške rýchlejšie s cieleným tréningom","Teljesítsd a vizsgát gyorsabban célzott gyakorlással"
"18q2nhItsO","Pass faster with focused practice","Uspej na skúške rýchlejšie s cieleným tréningom","Teljesítsd a vizsgát gyorsabban célzott gyakorlással"
"t_eYTxxHDq","Targets your weak spots automatically","Automaticky sa zameria na tvoje slabé miesta","Automatikusan a gyenge pontjaidra összpontosít"
"YTKSpnke7O","Full-length mock exams with scoring","Plnohodnotné skúšobné testy s hodnotením","Teljes hosszúságú próbavizsgák pontozással"
"FzMZDbUouN","All questions, all categories","Všetky otázky, všetky kategórie","Minden kérdés, minden kategória"
"b11T5KqURa","Weekly","Týždenne","Hetente"
"3PUpQs2Ysa","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}"
"pAwLNYbZ2e","Save {{ product.relative_discount }}","Ušetri {{ product.relative_discount }}","Spórolj {{ product.relative_discount }}"
"Hjy1nCtkxJ","Yearly","Ročne","Évente"
"tzMoZfGK7q","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}"
"RwGhjTBpDB","Lifetime access","Doživotný prístup","Élethosszig tartó hozzáférés"
"WqtnVO63Bu","Pay once, keep access for life","Zaplať raz a maj prístup navždy","Fizess egyszer, és örökre megmarad a hozzáférés"
"CfjJK0HZcu","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}","{{ product.price_per_period_abbreviated }}"
"uZcnB1JkxA","Start Free Trial","Vyskúšať zadarmo","Ingyenes próba indítása"
"n1dzcYoLL1","Restore Purchases","Obnoviť nákupy","Vásárlások visszaállítása"
"92rZFECc4Z","https://www.smartie.team/driver-sk/terms","https://www.smartie.team/driver-sk/terms","https://www.smartie.team/driver-sk/terms"
"9pHXVuJRXm","Terms","Podmienky","Feltételek"
"VBPJOj-Wkx","https://www.smartie.team/driver-sk/privacy","https://www.smartie.team/driver-sk/privacy","https://www.smartie.team/driver-sk/privacy"
"PXTOmY0Zc3","Privacy","Súkromie","Adatvédelem"
